id,MntMeatProducts,Recency,Year_Birth,NumStorePurchases,NumCatalogPurchases,Income,MntGoldProdsurchases,MntWines,Response
106,459,22,1924,95,27,51315,235,269,1
107,124,36,2018,19,3,223803,379,315,1
108,439,87,1922,20,22,225815,25,16,1
109,387,6,1993,63,92,75979,130,442,0
110,239,5,1971,67,81,111531,49,237,0
111,98,31,1984,47,45,242505,335,498,1
112,392,22,1928,73,37,124826,17,485,1
113,13,21,1983,92,51,40637,469,249,0
114,323,94,2008,52,93,109613,442,354,0
115,285,55,2011,45,11,96686,7,159,0
116,387,48,1969,96,39,216417,158,305,1
117,445,99,1976,24,51,237187,390,432,1
118,375,13,1998,16,39,117908,252,216,0
119,28,13,2006,53,49,11741,85,341,1
120,167,63,1960,63,21,50909,281,25,1
121,14,52,1979,64,33,39923,63,78,0
122,58,19,1980,21,96,291781,457,462,1
123,297,67,1926,56,32,83495,10,257,1
124,390,74,1986,78,30,260974,479,354,1
125,238,79,1965,45,30,217029,354,181,1
126,2,56,1924,50,44,129694,492,359,1
127,500,39,1994,37,3,42540,90,361,0
128,438,17,1974,14,75,71667,143,335,1
129,52,46,1955,46,9,250300,419,239,0
130,354,41,1979,3,22,161523,331,221,0
131,269,47,1989,95,12,230207,206,176,0
132,333,38,2020,73,74,76672,70,297,1
133,453,34,1979,49,56,13092,400,464,0
134,403,81,1975,26,9,90303,66,408,0
135,249,90,1984,32,34,57641,271,110,0
136,180,67,1941,98,25,253337,50,29,0
137,213,94,2016,18,22,88974,241,32,1
138,404,22,1944,6,85,253346,84,7,1
139,280,41,1955,60,36,99769,304,217,1
140,270,28,1955,26,26,36654,485,136,0
141,225,83,1991,12,26,206510,373,103,1
142,490,8,2022,78,36,77221,279,121,1
143,288,71,1975,49,30,106025,258,456,1
144,190,43,1970,53,20,225692,442,183,1
145,471,71,1990,14,88,233327,329,475,1
146,309,27,2010,57,87,190013,355,441,1
147,449,20,1928,90,85,78554,480,316,1
148,81,37,2008,65,98,274840,139,208,1
149,376,79,1978,7,2,72822,111,218,1
150,187,93,1987,38,66,82511,38,482,0
151,86,90,2000,43,10,97573,134,82,0
152,158,86,1988,76,45,220015,6,56,0
153,310,63,1978,81,67,158793,362,230,0
154,337,12,2007,67,29,151656,295,239,0
155,365,55,1920,94,44,116181,437,127,0
156,341,43,1969,20,80,192514,112,160,0
157,31,38,1992,97,47,128386,370,253,0
158,355,70,1998,70,78,83373,424,385,1
159,248,37,2008,35,61,298700,293,137,0
160,137,60,2006,3,77,205720,146,381,0
161,133,54,1944,59,67,232147,481,142,1
162,356,20,1963,96,13,255559,14,233,1
163,120,25,2023,54,45,265136,421,74,0
164,137,29,1959,65,51,60608,313,226,0
165,440,35,1984,21,61,111442,130,26,1
166,411,69,1926,33,17,142563,414,66,1
167,3,4,1932,27,76,51359,446,76,0
168,217,45,2020,55,43,48653,224,57,1
169,500,14,1997,82,25,287460,494,160,0
170,30,52,1936,76,49,216675,196,130,0
171,430,32,1976,34,9,131539,84,92,0
172,54,62,1970,38,16,266238,300,257,1
173,2,6,1945,100,92,211505,112,354,1
174,200,81,1980,20,66,94232,82,233,0
175,92,84,1965,65,93,193182,200,303,0
176,373,70,2014,50,26,108561,403,294,1
177,455,42,1923,38,99,248470,429,50,1
178,381,65,1969,71,96,297781,407,45,0
179,266,89,1943,8,88,35527,136,220,0
180,55,13,1946,55,53,149860,65,261,1
181,402,8,2011,46,55,237294,60,419,0
182,471,34,2004,90,35,86035,258,261,1
183,499,83,2008,22,4,254997,415,213,0
184,190,54,1950,68,26,94307,127,255,1
185,66,27,2004,60,77,250545,366,155,1
186,458,42,1948,20,36,43274,56,426,0
187,364,37,2009,13,90,36280,235,104,0
188,364,32,1936,22,63,251505,159,295,0
189,171,35,1997,27,70,182847,168,287,1
190,272,55,1984,24,89,15208,497,298,1
191,461,34,2023,77,42,12258,110,235,0
192,383,11,1939,8,67,144032,230,314,1
193,427,87,1974,98,67,49763,141,105,1
194,385,70,2018,33,47,43888,137,394,1
195,45,5,1946,27,51,157299,138,31,1
196,271,4,1955,36,95,76156,355,315,0
197,1,87,1942,31,30,160173,107,97,0
198,463,78,1974,55,50,199895,236,320,1
199,227,38,2002,34,37,233386,338,44,0
200,158,8,1948,35,87,196886,475,117,1
201,200,77,1934,87,66,93764,469,45,0
202,268,33,1981,50,6,64821,12,172,0
203,372,45,1990,22,86,288577,178,192,0
204,333,66,1995,49,18,265514,184,220,1
205,230,95,1995,9,66,49874,418,385,1
206,32,25,1963,11,24,31588,57,25,1
207,415,7,2004,52,37,24723,171,12,1
208,436,81,2022,18,30,238862,51,30,0
209,77,14,1942,66,77,27202,483,143,1
210,84,54,1967,73,26,227811,491,241,1
211,195,18,1925,70,33,214269,322,203,1
212,27,17,2004,66,68,26559,50,394,0
213,174,53,1945,86,56,63452,357,284,0
214,129,78,1977,6,89,64207,18,55,1
215,343,34,1949,98,28,22891,456,40,0
216,402,17,1993,4,71,53030,141,471,0
217,468,37,1991,6,27,226034,138,370,0
218,60,73,2001,57,33,191976,35,317,1
219,100,10,1968,19,43,198673,419,500,0
220,424,62,2018,82,96,182548,51,400,0
221,242,28,1937,96,4,131863,457,49,0
222,197,4,1973,10,31,182861,370,330,0
223,205,47,2012,23,88,259025,243,413,0
224,68,2,2009,80,62,92159,446,228,1
225,407,17,1992,72,81,142090,14,164,1
226,223,35,1994,24,1,143688,13,135,1
227,194,37,1937,82,25,130728,215,365,0
228,413,30,1944,87,58,215592,251,357,1
229,176,27,2011,11,72,176688,342,57,0
230,171,45,1978,10,94,272698,210,479,1
231,77,99,1998,28,27,265203,240,423,1
232,75,61,1965,53,12,27753,54,48,0
233,296,18,2020,97,34,138163,124,198,0
234,225,46,1985,43,30,72919,425,483,0
235,32,52,1978,33,85,167261,395,204,0
236,146,90,1931,9,60,41758,313,81,1
237,462,16,2009,63,68,29021,305,484,1
238,145,79,1939,78,62,51541,379,61,1
239,57,55,2000,77,93,265654,175,208,1
240,80,82,1985,97,6,130559,52,248,1
241,224,33,1951,32,54,275523,329,257,1
242,230,25,2004,79,32,216306,40,246,0
243,130,16,1948,33,78,262390,381,117,0
244,280,12,1934,60,15,297032,8,264,1
245,422,92,1957,93,18,43596,66,369,1
246,210,79,1929,15,60,229126,221,137,1
247,130,94,1985,17,61,193976,255,378,1
248,236,4,2023,60,81,122766,490,288,0
249,107,66,1941,35,24,182736,163,309,0
250,441,81,2019,19,56,98966,172,476,0
251,184,59,1982,29,70,171655,90,362,0
252,348,77,1947,64,98,167380,85,204,0
253,14,73,2009,54,88,76394,401,189,1
254,491,47,1993,76,38,193370,291,58,1
255,320,80,1956,78,63,261498,314,310,1
256,270,14,1953,36,55,267922,294,423,0
257,473,33,1998,55,27,206941,223,213,1
258,448,6,1946,40,71,52688,208,430,1
259,121,19,1953,5,17,144304,53,435,1
260,149,93,2017,20,78,102253,221,34,0
261,141,96,1945,96,14,213931,70,339,1
262,159,88,1992,81,69,199544,270,246,0
263,29,73,2008,43,90,106590,460,491,1
264,454,47,1961,66,44,34189,387,158,1
265,270,35,2007,56,70,279720,89,50,0
266,22,15,2018,91,30,211162,136,319,1
267,490,59,2003,90,92,184509,499,158,1
268,153,49,1948,38,11,297290,334,321,0
269,234,36,1923,6,45,21074,44,460,0
270,48,65,1968,82,83,43457,337,357,1
271,293,94,1941,14,3,105109,245,290,0
272,277,39,1971,15,36,169639,337,405,0
273,46,81,2006,22,25,185994,283,127,0
274,391,24,1934,84,29,54183,66,491,0
275,184,19,2023,15,20,90013,101,301,0
276,19,92,1968,24,38,114545,495,432,0
277,220,99,1940,87,31,28766,193,56,0
278,34,69,2013,29,76,115986,243,138,0
279,41,35,2021,89,56,94582,411,135,0
280,57,67,1995,10,89,153534,146,382,1
281,281,1,2000,39,58,263997,435,444,1
282,253,60,1953,40,21,277041,494,433,0
283,421,16,1986,70,91,238218,63,324,0
284,34,10,1980,2,32,111460,256,177,1
285,449,45,2002,23,67,158439,283,248,0
286,92,58,1928,69,14,181409,51,446,0
287,434,26,2009,4,81,122870,126,32,0
288,364,47,2002,63,5,241291,171,399,1
289,292,42,1924,88,58,290358,228,194,1
290,290,54,1950,48,57,244487,330,107,1
291,284,92,1943,70,35,11511,420,87,1
292,434,69,1964,45,57,258540,313,5,0
293,48,9,1992,17,40,156437,62,221,0
294,290,63,2003,32,34,103738,13,249,0
295,311,1,1926,42,7,76773,103,499,0
296,391,74,1999,9,29,120966,333,60,1
297,476,61,1931,89,60,40016,408,297,1
298,68,19,1998,8,50,21125,221,318,1
299,236,1,1931,48,24,254593,193,231,0
300,418,47,1951,48,52,103674,113,18,1
301,50,35,2009,51,56,244849,241,396,1
302,282,15,1936,28,30,250062,497,98,1
303,91,31,2020,93,24,117893,81,264,1
304,475,71,1970,44,63,120241,93,453,0
305,146,83,1949,92,35,85191,171,312,1
306,201,45,2011,32,32,220742,342,450,0
307,260,79,1993,37,98,89014,135,334,1
308,380,94,1922,58,20,210100,14,180,1
309,282,62,2020,38,43,151269,492,29,0
310,279,59,1991,37,39,95628,300,460,0
311,10,41,1969,95,8,199476,391,450,1
312,16,36,1920,33,2,236989,445,136,0
313,221,88,1922,88,26,291365,43,334,0
314,177,62,1938,28,80,138684,481,291,0
315,356,78,2023,96,29,295405,10,251,0
316,322,80,2015,57,100,129262,13,356,0
317,4,93,1961,42,61,50377,375,111,1
318,51,3,1949,66,45,15832,436,197,1
319,384,50,1935,16,95,125294,20,400,0
320,265,12,2002,90,34,26257,499,362,1
321,44,72,1994,45,6,235134,143,192,1
322,49,91,1951,56,50,247467,143,497,1
323,22,49,1942,65,47,256425,264,489,1
324,447,73,2015,76,23,156225,297,328,0
325,429,80,1941,1,66,153231,327,22,0
326,140,21,1920,21,99,38924,26,290,0
327,302,31,1990,7,77,169591,456,128,0
328,360,31,1999,90,12,52088,254,1,0
329,435,57,1989,29,37,39576,395,118,0
330,284,80,2009,69,3,296737,446,50,1
331,351,32,2018,13,18,176785,274,328,1
332,4,27,1985,90,15,14172,24,289,1
333,111,43,2008,89,3,215373,173,428,0
334,398,22,1921,78,8,283320,452,416,1
335,242,76,1998,60,97,155445,452,462,0
336,430,15,1934,58,30,73815,78,119,0
337,210,48,1954,2,46,204751,380,477,0
338,256,83,1931,45,90,15020,251,470,1
339,392,27,1932,82,59,292137,227,287,0
340,63,60,1980,40,38,201525,287,244,1
341,482,1,1922,36,7,259636,45,413,1
342,18,87,1930,74,54,112185,216,319,1
343,68,18,1952,84,23,282787,394,436,0
344,494,9,1929,27,13,243304,126,378,0
345,470,55,1970,55,94,85305,225,444,0
346,276,94,2003,33,73,68549,401,263,0
347,476,91,1928,22,59,177339,135,302,1
348,134,18,2022,80,84,150412,305,185,1
349,316,25,2006,30,56,280933,302,92,1
350,429,80,1939,52,70,194388,478,43,1
351,83,72,2017,27,28,288853,234,382,1
352,432,15,2020,61,8,295344,176,352,1
353,49,15,1937,18,51,180350,442,307,1
354,90,32,2006,88,67,177587,359,327,1
355,269,34,1961,36,28,76551,351,189,1
356,209,12,1954,21,21,280148,108,349,0
357,169,96,1980,87,96,44903,217,89,0
358,183,80,1959,75,51,203006,50,221,1
359,396,66,1935,59,99,48892,337,368,1
360,474,34,1964,43,89,95540,140,380,1
361,213,17,1959,73,21,17037,101,247,1
362,382,76,1940,74,19,134456,444,90,0
363,445,44,1998,78,14,12190,477,432,0
364,279,60,2001,19,99,17964,324,475,1
365,154,17,1992,18,33,250846,306,444,1
366,81,87,2012,62,4,116545,245,68,1
367,387,66,1971,15,28,274522,380,102,0
368,79,55,1968,15,38,127889,252,372,0
369,274,66,1926,84,26,112206,209,494,1
370,337,24,1934,82,18,291861,436,15,0
371,232,79,1923,67,58,110196,297,373,0
372,269,28,1980,55,9,34917,12,297,0
373,305,9,1928,12,7,276540,80,158,0
374,152,77,1955,70,64,45272,357,147,1
375,346,4,2017,37,17,291284,369,387,0
376,134,56,1959,49,33,161205,234,417,0
377,497,72,1932,49,84,222284,35,269,1
378,385,87,1928,4,50,155150,475,148,0
379,422,86,1956,81,38,209880,43,433,0
380,423,26,2021,20,25,292686,95,410,1
381,153,2,1962,63,87,129331,194,43,0
382,244,85,1980,11,3,266503,120,5,0
383,59,27,1922,15,81,278608,155,85,0
384,381,22,1997,8,47,269190,79,332,1
385,33,76,1975,63,20,107572,105,311,0
386,78,43,1987,23,64,163905,254,60,0
387,2,75,1969,81,23,99544,336,494,0
388,270,81,1958,2,82,51999,155,458,0
389,17,62,1937,91,74,297928,204,256,1
390,379,15,1925,100,10,212906,351,10,0
391,322,70,1940,60,97,261661,288,91,1
392,96,80,1962,15,1,220246,60,28,1
393,125,54,1988,19,47,243920,386,346,1
394,64,30,2003,82,33,169689,121,4,0
395,351,82,1933,95,25,175481,58,290,1
396,324,66,1941,66,77,54270,353,74,1
397,299,25,1957,6,28,45817,159,452,0
398,261,24,1975,52,39,273155,118,34,0
399,120,5,2020,70,39,187470,372,6,0
400,122,34,1957,87,43,96378,41,487,1
401,129,50,1932,65,18,43379,430,406,0
402,325,18,1938,42,22,211039,161,406,0
403,301,16,2013,51,24,83569,363,206,1
404,18,55,1986,9,49,93051,182,407,0
405,159,91,1938,71,64,260072,400,287,1
406,130,29,2015,44,100,194633,232,472,0
407,426,11,1963,16,24,227866,298,291,1
408,296,89,1948,45,66,171913,340,497,0
409,112,17,1961,73,10,162569,464,294,1
410,12,51,1996,36,13,77628,286,323,0
411,99,87,1923,63,97,272732,350,91,0
412,214,25,1931,69,73,157919,90,165,1
413,362,44,1947,91,96,235542,400,71,0
414,12,58,1973,38,13,30685,314,36,0
415,194,11,1954,75,90,144173,71,184,1
416,144,22,1978,27,87,40010,359,296,1
417,329,25,1938,67,79,289626,265,31,1
418,431,87,2020,52,69,174789,84,335,0
419,191,69,1981,38,24,72126,375,217,1
420,469,28,2021,55,11,235321,243,128,1
421,381,88,1986,31,12,265013,492,208,0
422,317,29,1976,85,74,100491,494,247,0
423,436,51,2002,65,90,23602,320,461,1
424,119,26,1944,60,69,215708,313,459,1
425,110,89,1992,57,28,24753,419,105,0
426,263,41,1934,57,8,85223,399,379,1
427,411,39,1936,22,95,271227,250,115,0
428,375,49,1923,40,91,181134,8,358,1
429,310,55,1947,73,77,140575,320,98,1
430,160,87,1963,92,64,210857,310,458,1
431,271,61,1972,35,46,124073,14,150,0
432,402,49,1949,8,48,175043,419,111,0
433,273,48,1986,13,21,137710,235,255,0
434,78,14,1962,82,99,213739,58,138,0
435,348,73,1929,50,53,222853,98,85,1
436,330,9,1997,52,29,275759,472,294,1
437,358,99,1998,92,39,12254,111,393,1
438,48,44,2007,16,79,276905,282,349,0
439,382,14,1985,23,1,85581,302,13,1
440,2,63,1960,7,82,24285,404,328,0
441,237,21,1959,15,14,131381,330,105,0
442,489,11,1992,93,89,37701,72,413,0
443,115,44,1921,80,87,100482,171,497,0
444,185,67,1923,75,56,242939,402,178,0
445,257,2,1933,8,84,255707,172,79,0
446,349,86,1966,4,60,254254,260,140,1
447,447,65,1985,54,35,81303,147,212,0
448,4,96,2022,16,89,150728,236,484,0
449,103,6,2017,60,45,195177,28,77,0
450,375,97,1944,5,69,74609,222,215,0
451,442,47,2017,3,48,72322,444,125,0
452,166,81,2006,76,76,35948,237,331,0
453,168,88,1927,2,60,274484,313,156,0
454,13,93,1927,34,15,136100,82,469,0
455,459,97,1986,31,32,235177,473,296,0
456,315,21,1950,84,52,71093,173,83,0
457,445,54,1961,33,76,140349,153,268,1
458,60,52,1969,70,32,290901,377,206,1
459,311,72,1998,42,58,33756,379,155,1
460,111,62,1984,8,36,149858,142,469,1
461,405,61,1971,97,18,111459,319,85,0
462,276,5,1961,24,39,24756,289,236,1
463,441,35,1929,84,90,206888,287,272,0
464,93,10,1969,83,3,124320,41,308,1
465,281,48,1989,47,53,55009,228,75,1
466,420,25,1984,53,21,165954,50,359,1
467,196,56,1974,44,59,198216,369,480,1
468,98,100,1966,15,1,118126,246,394,1
469,446,49,1956,73,99,206017,67,76,1
470,447,79,1985,59,86,123328,25,21,1
471,454,17,1931,66,40,274122,236,102,0
472,297,58,1957,82,96,266780,140,285,1
473,476,1,1995,72,57,139044,25,250,0
474,99,84,2015,92,34,86664,110,344,1
475,235,23,1950,84,98,198359,197,252,0
476,240,71,1961,71,44,33180,262,429,1
477,363,78,1948,73,6,44530,142,245,0
478,62,30,1926,38,61,170039,244,364,0
479,387,37,1970,27,20,177898,215,43,1
480,151,2,1967,8,87,139850,228,414,1
481,191,75,1944,9,36,211201,129,256,1
482,368,53,1990,33,7,168725,71,193,0
483,334,1,1969,85,65,242955,191,243,1
484,384,43,1920,84,2,86623,134,368,0
485,263,100,2000,85,32,232402,495,250,0
486,272,5,1991,20,53,73049,494,410,0
487,25,32,2002,7,74,10372,141,104,0
488,211,89,1975,68,96,233849,245,472,1
489,308,26,2007,38,7,127710,59,301,1
490,343,35,1928,83,63,283820,94,228,0
491,288,28,1944,52,77,241612,282,431,1
492,396,50,1948,43,76,100437,131,393,0
493,114,24,1997,22,25,167419,133,289,0
494,278,65,2006,31,90,259984,72,442,0
495,378,6,1987,60,73,264722,245,331,0
496,207,18,1987,38,68,106557,419,54,1
497,13,84,2019,3,36,102921,437,291,0
498,464,27,2017,82,88,116806,79,203,1
499,277,88,1920,88,42,24362,72,235,0
500,496,86,1943,86,31,136380,453,410,0
501,219,9,1995,62,37,88073,66,125,0
502,117,2,2009,77,47,82672,494,161,0
503,352,64,2001,35,45,24764,496,380,1
504,486,53,2010,49,24,39045,307,191,1
505,263,91,1998,74,53,34671,381,275,1
506,332,88,1969,86,74,107997,27,406,0
507,85,47,1995,37,99,228038,284,176,1
508,147,48,1997,65,41,31296,77,27,0
509,18,52,2006,96,37,103861,452,441,1
510,229,69,1981,20,68,280535,127,373,0
511,277,72,1952,75,42,160505,151,434,1
512,105,5,1965,68,17,245791,427,116,1
513,411,33,2004,68,92,226287,25,349,1
514,14,87,1974,72,53,14044,108,320,0
515,185,86,1962,39,29,96434,218,203,0
516,16,27,2020,34,87,40930,392,319,1
517,440,72,1927,29,56,24920,185,172,1
518,351,18,1963,29,46,65467,300,382,0
519,141,90,1970,96,22,75539,43,339,0
520,88,17,1959,50,64,32830,464,463,1
521,195,67,1991,98,18,42619,157,109,1
522,137,31,1931,87,4,286523,291,302,1
523,181,33,1972,76,7,185342,49,164,0
524,54,52,1995,75,51,46077,266,449,0
525,105,54,1932,87,44,294142,212,271,1
526,343,3,1973,90,53,32958,146,117,1
527,174,5,1939,42,47,177552,216,258,0
528,247,99,1927,73,33,259026,460,113,0
529,191,14,2023,31,94,258812,23,328,1
530,125,74,1964,36,91,125065,409,374,1
531,186,92,1927,51,7,271872,141,244,0
532,405,18,2004,95,74,282980,268,196,1
533,419,79,1952,86,56,100465,470,169,0
534,82,62,1932,35,52,27860,350,356,1
535,413,20,1943,14,90,172454,355,195,0
536,373,25,2013,93,85,119390,251,391,1
537,74,20,1965,72,53,39627,69,256,0
538,103,2,1935,55,31,277408,323,341,1
539,271,77,2006,53,89,116195,317,4,0
540,159,11,1985,34,61,26101,338,343,1
541,197,14,2018,8,4,16533,372,351,1
542,53,95,1980,56,83,68639,192,99,1
543,486,3,1953,24,9,204065,178,193,1
544,218,41,1936,53,88,172319,244,308,0
545,411,61,1946,87,47,20842,407,184,1
546,233,83,1936,82,35,119855,492,211,0
547,217,86,1976,3,44,229223,413,200,0
548,251,78,1930,65,61,206562,326,350,1
549,430,67,1986,66,7,199773,384,248,1
550,101,7,1920,68,20,86975,73,380,1
551,217,58,2009,41,88,102716,78,56,1
552,397,78,1929,27,12,36329,445,284,0
553,410,7,2023,11,67,133370,41,263,1
554,458,87,1969,39,68,284514,427,263,0
555,196,5,2007,52,27,250938,47,20,0
556,235,85,1965,43,13,119846,480,329,0
557,315,65,1933,40,26,229452,341,85,1
558,243,43,1984,41,16,236174,308,25,1
559,185,59,1999,29,93,220624,376,302,1
560,239,2,1959,23,89,293632,174,437,1
561,344,100,1976,77,43,299323,238,172,0
562,488,98,1942,65,10,185731,429,101,1
563,186,1,1930,74,15,214836,451,375,0
564,471,48,1990,97,100,40719,77,409,0
565,446,84,1978,92,92,125486,10,96,0
566,161,20,1958,36,66,149795,366,439,0
567,102,65,1960,33,80,83583,479,445,1
568,420,95,1937,23,27,113659,313,472,0
569,391,86,2015,86,12,47312,156,273,0
570,163,34,2004,60,35,148096,359,364,1
571,129,87,1966,17,47,260834,363,196,0
572,36,66,1954,61,53,272352,383,167,0
573,262,49,2018,7,10,170352,48,88,1
574,402,84,1978,65,75,288404,87,300,0
575,200,90,1946,34,28,261622,272,109,1
576,197,85,1974,40,4,203906,62,17,0
577,451,15,1987,5,34,148776,38,45,1
578,481,74,1993,51,5,129090,441,150,0
579,440,11,1947,94,58,189422,443,277,1
580,345,74,1952,13,61,91747,213,211,0
581,222,5,1981,39,7,266831,459,222,1
582,464,1,1949,39,87,226053,308,245,0
583,78,75,1987,26,92,44047,120,220,0
584,6,42,1993,24,2,41113,36,276,0
585,373,65,1962,37,52,257971,388,134,0
586,60,7,2017,4,17,139468,17,421,1
587,395,21,1953,95,47,127179,113,27,1
588,180,61,1935,50,6,62325,392,262,0
589,363,79,1975,22,56,225732,182,365,0
590,276,16,1993,96,86,164599,310,51,0
591,65,24,2011,84,99,21316,278,443,0
592,47,29,1988,63,44,255578,159,125,1
593,10,52,1929,94,30,171844,125,66,0
594,146,83,1988,69,22,293269,257,455,0
595,270,68,1944,16,62,192808,420,423,0
596,183,59,1973,17,96,28398,170,125,1
597,262,63,1947,60,97,296761,122,80,1
598,402,46,1958,12,25,165364,288,329,1
599,429,7,1946,66,80,223049,212,490,0
600,156,13,2006,47,1,163376,214,1,0
601,433,82,1979,32,38,15682,339,221,0
602,412,85,1927,90,27,284907,481,498,0
603,297,82,2000,61,83,261418,422,283,0
604,260,20,1991,70,62,216554,248,167,1
605,20,60,1956,94,11,57320,192,31,0
606,113,80,1981,97,13,121446,83,472,0
607,193,2,1993,43,55,193373,110,498,0
608,51,90,1971,30,13,86269,334,52,1
609,339,40,1923,2,45,18077,144,106,1
610,312,4,1990,72,22,230120,158,153,1
611,469,18,1997,49,41,71262,345,176,1
612,488,46,2021,36,27,28774,219,316,0
613,378,89,1947,26,70,262226,114,200,1
614,86,90,1990,56,93,233439,497,163,0
615,275,71,1958,28,25,38455,59,288,0
616,248,23,2020,98,33,211607,189,489,0
617,373,46,1965,23,75,248924,169,494,0
618,179,64,1964,85,82,277783,495,308,1
619,461,48,2011,29,81,128284,229,251,0
620,8,47,1995,2,67,114656,274,209,1
621,448,60,1945,72,78,61275,176,61,1
622,240,25,1998,27,96,159176,179,174,0
623,426,49,1991,14,77,58352,360,331,0
624,255,76,1978,10,13,49399,100,493,0
625,65,21,2003,49,97,10140,369,132,1
626,446,95,1960,50,56,194847,303,129,0
627,215,26,1972,61,63,260848,443,50,0
628,464,43,2020,83,23,11949,117,128,1
629,371,41,1984,56,64,122833,247,459,0
630,31,18,1976,37,80,161843,160,280,1
